Smiles,Activity
Brc1ccc(Cn2cc(CSc3nc4ccccc4s3)nn2)cc1,0
Brc1ccc(-n2c(-c3c(-c4cccc(Br)c4)[nH]c4ccccc34)nc(-c3ccccc3)c2-c2ccccc2)cc1,1
Brc1ccccc1Cn1cc(CSc2nc3ccccc3s2)nn1,0
C#CCOc1ccc(-c2cc(OC)c(-c3ccc(O)cc3)c(OCC#C)c2OC)cc1,0
C(=N/Nc1nc(-c2ccc(-c3ccccc3)cc2)cs1)\c1cccc2ccccc12,1
C/C=C/C1=CC2=CC(=O)[C@@](C)(O)[C@@H](OC(=O)c3c(C)cc(O)cc3O)[C@@H]2CO1,0
C/C=C/C1=CC2=CC(=O)[C@@](C)(OC(=O)c3c(C)cc(O)cc3O)C(=O)C2=CO1,0
C[C@H]1[C@H](C)CC[C@]2(C(=O)O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@H]12,0
C[C@H]1NC[C@@H](O)[C@@H](O)[C@H]1CO,0
C=C(C)C(COc1c2ccoc2cc2oc(=O)ccc12)OC(C)(C)C(O)COc1c2occc2c(OC)c2ccc(=O)oc12,1
C=C(C)C(COc1c2occc2c(OC)c2ccc(=O)oc12)OC(C)(C)[C@H](O)COc1c2ccoc2cc2oc(=O)ccc12,1
C=C(C)C(COc1c2occc2cc2ccc(=O)oc12)OC(C)(C)[C@H](O)COc1c2ccoc2cc2oc(=O)ccc12,1
C=C(C)C(O)CC/C(C)=C/COc1ccc2oc3cc(O)cc(O)c3c(=O)c2c1,0
C=C(C)C(O)Cc1c(O)c(C/C=C(\C)CCC=C(C)C)c2oc3ccc(O)cc3c(=O)c2c1O,1
C=C(CCC=C(C)C)C(O)Cc1c(O)c(CC=C(C)C)c(O)c2c(=O)c3cc(O)ccc3oc12,0
C=CCOc1c(OC)c(-c2ccc(O)cc2)cc(OC)c1-c1ccc(O)cc1,0
C=CCOc1ccc(-c2c(OC)cc(-c3ccc(O)cc3)c(OC)c2O)cc1,0
